Ag, 107.8682, Ag.pbe-n-rrkjus_psl.1.0.0.UPF
Ca, 40.0780, Ca.pbe-spn-rrkjus_psl.1.0.0.UPF
Fe, 55.8450, Fe.pbe-spn-rrkjus_psl.1.0.0.UPF
Mn, 54.9380, Mn.pbe-spn-rrkjus_psl.0.3.1.UPF
P, 30.9738, P.pbe-n-rrkjus_psl.1.0.0.UPF
Sn, 118.7100, Sn.pbe-dn-rrkjus_psl.1.0.0.UPF
Al, 26.9815, Al.pbe-n-rrkjus_psl.1.0.0.UPF
Cd, 112.4140, Cd.pbe-n-rrkjus_psl.1.0.0.UPF
F, 18.9984, F.pbe-n-rrkjus_psl.1.0.0.UPF
Mo, 95.9500, Mo.pbe-spn-kjpaw_psl.1.0.0.UPF
Pt, 195.0840, Pt.pbe-n-rrkjus_psl.1.0.0.UPF
S, 32.0600, S.pbe-n-rrkjus_psl.1.0.0.UPF
As, 74.9216, As.pbe-n-rrkjus_psl.1.0.0.UPF
Cl, 35.4500, Cl.pbe-n-rrkjus_psl.1.0.0.UPF
Ga, 69.7230, Ga.pbe-dn-rrkjus_psl.1.0.0.UPF
Na, 22.9898, Na.pbe-spn-rrkjus_psl.1.0.0.UPF
Rh, 102.9055, Rh.pbe-spn-rrkjus_psl.1.0.0.UPF
Ti, 47.8670, Ti.pbe-spn-rrkjus_psl.1.0.0.UPF
Au, 196.9666, Au.pbe-n-rrkjus_psl.1.0.0.UPF
Co, 58.9332, Co.pbe-spn-rrkjus_psl.0.3.1.UPF
Ge, 72.6300, Ge.pbe-dn-rrkjus_psl.1.0.0.UPF
Ni, 58.6934, Ni.pbe-spn-rrkjus_psl.1.0.0.UPF
Ru, 101.0700, Ru.pbe-spn-rrkjus_psl.1.0.0.UPF
V, 50.9415, V.pbe-spnl-rrkjus_psl.1.0.0.UPF
Be, 9.0122, Be.pbe-sl-rrkjus_psl.1.0.0.UPF
C, 12.0110, C.pbe-n-rrkjus_psl.1.0.0.UPF
H, 1.0080, H.pbe-rrkjus_psl.0.1.UPF
N, 14.0070, N.pbe-n-rrkjus_psl.1.0.0.UPF
Sc, 44.9559, Sc.pbe-spn-rrkjus_psl.1.0.0.UPF
Zn, 65.3800, Zn.pbe-dnl-rrkjus_psl.1.0.0.UPF
B, 10.8100, B.pbe-n-rrkjus_psl.1.0.0.UPF
Cr, 51.9961, Cr.pbe-spn-rrkjus_psl.1.0.0.UPF
K, 39.0983, K.pbe-spn-rrkjus_psl.1.0.0.UPF
O, 15.9990, O.pbe-n-rrkjus_psl.1.0.0.UPF
Se, 78.9710, Se.pbe-dn-rrkjus_psl.1.0.0.UPF
Br, 79.9040, Br.pbe-dn-rrkjus_psl.1.0.0.UPF
Cu, 63.5460, Cu.pbe-dn-rrkjus_psl.1.0.0.UPF
Mg, 24.3050, Mg.pbe-spnl-rrkjus_psl.1.0.0.UPF
Pd, 106.4200, Pd.pbe-n-rrkjus_psl.1.0.0.UPF
Si, 28.0850, Si.pbe-n-rrkjus_psl.1.0.0.UPF
Li, 6.9410, Li.pbe-s-rrkjus_psl.1.0.0.UPF
Y, 88.9058, Y.pbe-spn-rrkjus_psl.1.0.0.UPF
Zr, 91.2242, Zr.pbe-spn-rrkjus_psl.1.0.0.UPF
Nb, 92.9064, Nb.pbe-spn-rrkjus_psl.1.0.0.UPF
Tc, 98.9000, Tc.pbe-spn-rrkjus_psl.0.3.0.UPF
W, 183.84, W.pbe-spn-rrkjus_psl.1.0.0.UPF
Hf,178.49,Hf.pbe-spn-rrkjus_psl.1.0.0.UPF
Ta,180.94788,Ta.pbe-spn-rrkjus_psl.1.0.0.UPF
Pb,207.2,Pb.pbe-dn-rrkjus_psl.1.0.0.UPF
Re,186.2070,Re.pbe-spn-rrkjus_psl.1.0.0.UPF
Os,190.23,Os.pbe-spn-rrkjus_psl.1.0.0.UPF
Ir,192.2170,Ir.pbe-n-rrkjus_psl.0.2.3.UPF
Hg,200.59,Hg.pbe-n-rrkjus_psl.1.0.0.UPF
